name,lat,lon,住所
八王子消防署,35.654738,139.32852,上野町33
八王子消防署由木分署,35.627442,139.380604,下柚木542-8
八王子消防署元八王子出張所,35.673865,139.294303,大楽寺町366-1
八王子消防署小宮出張所,35.668573,139.35789,石川町2099-2
八王子消防署浅川出張所,35.641459,139.286136,東浅川町882-2
八王子消防署北野出張所,35.650397,139.352092,北野町575-1
八王子消防署みなみ野出張所,35.617265,139.315784,大船町1044-2
八王子消防署富士森出張所,35.661238,139.329263,大横町1-4
東京消防庁第九方面消防救助機動部隊,35.61117,139.355166,鑓水2-108-2
八王子警察署,35.663143,139.338549,元横山町2-4-13
高尾警察署,35.649207,139.294977,東浅川町23-34
南大沢警察署,35.616258,139.382012,南大沢1-8-3
警視庁第九方面本部,35.661806,139.328514,大横町14-20
