name,lat,lon,住所
浅川事務所,35.643606,139.276896,高尾町１６５２－１ 
横山事務所,35.651108,139.300384,並木町１５－１５
館事務所,35.634287,139.306471,館町１５６ 
由木事務所,35.627,139.382722,下柚木２－１０－６ 
由木東事務所,35.634225,139.421491,鹿島１１１－１ 
南大沢事務所,35.611695,139.379357,南大沢２－２７ フレスコ南大沢１階
元八王子事務所,35.671429,139.293037,大楽寺町４１９－１ 
恩方事務所,35.667602,139.249197,下恩方町３３９５
川口事務所,35.693043,139.279276,川口町９０８－１ 
加住事務所,35.70054,139.31614,加住町１－１７０－２ 
北野事務所,35.646026,139.353169,北野町５４９－５ 
由井事務所,35.643256,139.333358,片倉町１１９－４ 
石川事務所,35.680327,139.366225,石川町４８１ 
八王子駅南口総合事務所,35.654708,139.337642,子安町４－７－１ サザンスカイタワー八王子４階
